41 BUGIRI,031 BUKOOLI COUNTY CENTRAL,01 BULESA,01 BUWUNI,01 BUBUZI
,,,,02 BUGOSERE
,,,,03 BULENDE
,,,,04 BUWUNI
,,,02 IGGWE,01 BULEBI
,,,,02 BUWAGAMA
,,,,03 LUWERO
,,,,04 MAWERERE
,,,,05 NAKABAALE 'A'
,,,,06 NAMIGUWA
,,,03 KITODHA,01 IDHUBU
,,,,02 KITODHA
,,,,03 LUVUNYA
,,,,04 NAKISAMO
,,,,05 NAWANSONGA
,,,04 NAMASERE,01 BUKOVU
,,,,02 BUKUTA
,,,,03 BULESA
,,,,04 NAKABAALE 'B'
,,,,05 NAKIGUNDHU
,,,,06 NANKONKOLO
,,,,07 NAWAMBIDHI
,,,,08 NKINDHA
,,,18 BULUWE,01 BULUWE
,,,,02 BUTEGWA A
,,,,03 MALENDELE
,,,,04 NANGALAMA
,,,,05 BUTEGWA B
,,,,06 KIDOWO
,,,38 BUWUNI TOWN BOARD,05 BUYEBE A
,,,,06 KASEBERE
,,,,07 KIBIMBA
,,,,08 MAKHOMA A
,,,,09 NAINALA A
,,,,10 BUYEBE B
,,,,11 MAKHOMA B
,,,,12 NAINALA B
,,02 BUWUNGA,05 BUSOWA,01 BASANGIRIZI
,,,,02 BUBONGOYI
,,,,03 BULUME
,,,,05 NAKAWA
,,,06 BUWUNGA,01 BUDIIDI
,,,,02 MUGERA
,,,,03 NAMALENHA
,,,,04 NAMATANGA
,,,,05 WANDEGEIRE
,,,07 KAVULE,01 KATOOKO
,,,,02 BUKEREKERE
,,,,03 KAVULE CENTRAL
,,,,04 KASAALA
,,,08 MAGOOLA,01 IMULI
,,,,02 KAYANDHA KAATO
,,,,03 MAGOOLA
,,,,04 MAKOMA
,,,,05 NAKATWE
,,,09 LUWOKO,01 KITEIGALWA
,,,,02 LUWOOKO A
,,,,03 LUWOOKO B
,,,,04 LUWOOKO CENTRAL
,,,,05 BUKALAIKOTI
,,,19 NAWANDHUKI,01 BUTEEBE
,,,,02 NAMALENHA
,,,,03 NAWANDHUKI
,,,,04 BUGONGO
,,,20 NAMBALE,01 BUGOMBO
,,,,02 BUTUMBA
,,,,03 KATALA
,,,,04 NAMBALE
,,,,05 KAYAIGO
,,,21 BUSOGA,01 BUSOGA
,,,,02 BUWUGE
,,,,03 NABIRARA
,,,,04 NAKAMINI
,,,,05 NAKISENYI
,,,22 BUPALA,01 BUPALA
,,,,02 KITOGO
,,,,03 KYALUYA
,,,,04 WALUGOMA
,,,,05 NKYALUYA B
,,,,06 WANZERERE
,,,23 BUBUGO,01 BUBUGO/BULIWAGULU
,,,,02 KIRONGO
,,,,04 NAMBOFA
,,,,05 BUBUNIRA
,,,,06 BUKEREWE
,,,35 BUSOWA TOWN BOARD,01 BUSOWA SOUTH
,,,,02 TAKIWEREZA
,,,,04 BUSOWA CENTRAL
,,,,05 BUSOWA NORTH
,,,36 MAWANGA,01 BUDHEBERO
,,,,02 MAWANGA
,,,,03 BUSAMBIRA
,,,,05 NAKAWA
,,03 MUTERERE,11 KAYOGERA,01 BUKIIRI
,,,,02 BUWEMBULA
,,,,03 KAYOGERA
,,,,04 NAIGOMA
,,,,05 NAKABALE
,,,,06 NALUYA
,,,,07 NAWANKINGA
,,,13 MUTERERE,01 BUKABUDDO
,,,,02 BUSINI
,,,,03 KIGUSA A
,,,,04 KYAIKU EAST
,,,,07 NSIMBIRANO
,,,,08 KYAIKU WEST
,,,26 BULULU,01 BULULU
,,,,02 BULYAILYOBYO
,,,,03 BUWENDA
,,,,04 LUBANYI
,,,,05 NONGO
,,,,06 NABUYANDA
,,,28 KITUMBA,01 IRIMBI
,,,,02 IVUNMANGABO EAST
,,,,03 KIMBALE
,,,,04 KITUMBA
,,,,05 NAMUNTENGA
,,,,06 NGUNGA
,,,,07 IVUNMANGABO WEST
,,,40 MUTERERE TOWN BOARD,05 MUTERERE EAST
,,,,06 MUTERERE WEST
,,,,09 MUTERERE CENTRAL
,,,,10 KIGUSA B
,,04 NANKOMA,15 ISEGERO,01 BWALULA 'A'
,,,,02 BWALULA 'B'
,,,,03 ISEGERO
,,,,04 MATIKI
,,,,05 WAUSIMBA A
,,,,06 WAUSIMBA B
,,,16 NAMAKOKO,01 BUKAGOLO
,,,,02 BULYANGADA
,,,,03 BUSIMBI A
,,,,04 BUTEGWA A
,,,,05 LWANGOSIA
,,,,06 NAMAKOKO
,,,,07 BUSIMBI B
,,,,08 BUTEGWA B
,,,,09 BUMUNKU
,,,17 NANKOMA,01 KASOBA
,,,,02 KISAWO
,,,,03 KYEMEIRE
,,,,04 NAKASITA
,,,,05 NAMUTENGA A
,,,,06 NAMUTENGA B
,,,32 MATOVU,01 KIGOBERO
,,,,02 MATOVU 'A'
,,,,03 MATOVU 'B'
,,,,04 NAMAKOLI
,,,,05 NAMPERE
,,,,06 NAWAMBWA
,,,,07 MATOVU C
,,,,08 NAWAMBWA B
,,,33 NSONO,01 KASONGOIRE A
,,,,02 KYAZUKA
,,,,03 NAMUGANZA
,,,,04 NAWANSEYO
,,,,05 NSONO
,,,,06 SANIKA
,,,,07 KASONGOIRE B
,,,,08 NABULUNGI
,,,,09 NALWESANBULA
,,,34 MASITA,01 ITAKAIBOLU 'A'
,,,,02 ITAKAIBOLU 'B'
,,,,03 LWAMUNYU
,,,,04 MASITA
,,,,05 NAKASISI A
,,,,06 NAWAMPANDA
,,,,07 NAKASISI B
,,,39 NANKOMA TOWN BOARD,02 KISAWO
,,,,03 NANKOMA D
,,,,04 NANKOMA WEST
,,,,05 NANKOMA EAST
,,,,06 NANKOMA A
,,,,07 NANKOMA B
,,,,08 NANKOMA C
,,,,09 NAWANGO
,,05 BUDHAYA,10 BUDHAYA,01 BUDHAYA
,,,,02 BUKEREKERE
,,,,03 BUMWANGU
,,,,04 KIWANDANGABO
,,,,05 NABUKALU
,,,,06 NGULUMO
,,,12 MAYUGE,01 MAYUGE CENTRAL
,,,,02 MAYUGE EAST
,,,,03 MAYUGE NILE
,,,,04 MAYUGE WEST
,,,,05 MUSIRISISI
,,,,06 NANTAKYA
,,,,07 NSAVU
,,,,08 WALUMBE
,,,,09 BULYAIYOBYO
,,,25 BUKATU,01 BUKATU
,,,,02 BULYANSWA
,,,,03 KAWOLOGOMA
,,,,04 MAZIRIGA
,,,,05 NAMATU
,,,,06 BUBANGO
,,,,07 BUDIBYA
,,,27 BUWOLYA,01 BUDDE
,,,,02 BUKAGOLO
,,,,03 BUVUTWA
,,,,04 KIMASA
,,,,05 MAKOVA
,,,,06 LUWA
,,,,07 BITIBWA
,,06 BULIDHA,14 BULIDHA A,01 BULIDHA
,,,,03 NAKYEGEREIKE
,,,,04 NANSAGA
,,,24 BULIDHA B,01 BUKUDULU
,,,,02 ITOOLO
,,,29 WAKAWAKA,01 KIBUYE A
,,,,02 NAKAWA
,,,,03 WAKAWAKA
,,,,04 KIBUYE B
,,,,05 NAGURU
,,,30 NABIGINGO,01 MAYoOLE
,,,,02 MUFUMI
,,,,03 NABIGINGO B
,,,,04 KISENYI
,,,,05 NABIGINGO A
,,,31 MAKOMA,01 BUSAKIRA
,,,,02 MASOLYA
,,,,04 NAKISENYI
,,,,05 MAKOMA I
,,,37 ISAKABISOLO,01 NAMUNGODI
,,,,03 BUSINDA
,,,,06 MATYAMA
,032 BUKOOLI COUNTY NORTH,01 BUGIRI TOWN COUNCIL,04 NDIFAKULYA A WARD,01 KIMOMBASA
,,,,02 MUYENGA
,,,,03 NDEEBA
,,,,04 NDIFAKULYA
,,,,05 KIREKA
,,,17 NALUWERERE WARD,01 BUGIRI
,,,,02 KIWALAZI
,,,,03 KIYINIKIBI EAST
,,,,05 BUTAMBULA
,,,,06 KIYINIKIBI WEST
,,,,07 BUTAMBULA CENTRAL
,,,18 NKUSI WARD,01 MUKUBA
,,,,02 NKUSI A
,,,,03 KATAWO
,,,,04 NKUSI B
,,,19 BWOLE WARD,01 BUSANZI A
,,,,02 BWOLE
,,,,04 BUSANZI B
,,,,05 KAMWOKYA
,,,,06 MUSONGOLA
,,02 BULUGUYI,01 BUGAYI,01 BUGAYI
,,,,02 BULESI
,,,,03 BUTUNDULA
,,,,04 NAMUWOMBI
,,,02 BULUGUYI,01 BUBWOKI
,,,,02 BULUGUYI
,,,,03 KITOVU
,,,,04 LUGANO
,,,,05 BUYINDI
,,,03 NSANGO,01 BUDEMBE
,,,,02 KAYAGO
,,,,03 KISOKHO
,,,,04 MUSOMA
,,,,05 NSANGO
,,,,06 HASHEBA
,,,,07 MADENGHO
,,,20 MUWAYO,01 BUDUMA 'A'
,,,,02 BUDUMA 'B'
,,,,03 BUTEMA
,,,,04 MUWAYO
,,,,05 NAKAWA
,,,,06 MUDAWO
,,,21 BUFUNDA,01 BUDUNYI
,,,,02 BUFUNDA 'A'
,,,,03 BUFUNDA 'B'
,,,,05 GAWUNIRE
,,03 IWEMBA,11 BUYALA,01 BUDOME
,,,,02 BUKASOLO
,,,,03 BUYALA
,,,,04 KIGULU
,,,,05 KIMIRA
,,,13 IWEMBA,01 BUKANDA
,,,,02 BUKIRI
,,,,03 BULYAMBOLI
,,,,04 BUSIMBA
,,,22 NABIRERE,01 KASOKWE
,,,,02 NABIRERE
,,,,03 WALUSAKA
,,,,04 BUSOLO
,,,23 BUGESO,01 BUKAKAIRE
,,,,02 KAZIMBAKUNGIRA
,,,,03 NABYUNU
,,,24 NAMBO,01 NAMBO ''B''
,,,,02 NAWANGALI
,,,,03 WALIKO
,,04 KAPYANGA,05 BUGIRI A,01 BUGHONDHANDHALA
,,,,02 NAITOSI
,,,,04 BUKONDE B
,,,,05 BUYUBU
,,,,07 KAPYANGA
,,,,10 BUTAKANIRA
,,,06 KISEITAKA,01 KAATO
,,,,02 KIRONGERO 'A'
,,,,03 KIRONGERO 'B'
,,,,04 KISEITAKA
,,,,05 NAMINYAGWE
,,,,06 WANENGA
,,,07 NAKAVULE,01 IZIRA
,,,,02 KAMANGO
,,,,03 KIKABALA
,,,,04 NAKAVULE
,,,,05 KIDHEBERO
,,,08 NAMUKONGE,01 BUGODO A
,,,,02 BUKAYE A
,,,,03 BUWOFU
,,,,04 IGOGO
,,,,05 KAYANGO A
,,,,06 BUGODO B
,,,,07 BUKAYE B
,,,,08 KAYANGO B
,,,,09 KAYANGO C
,,,09 NDIFAKULYA,01 BUKAYE
,,,,02 LWABA
,,,,03 MUGONA NORTH
,,,,04 MUGONA SOUTH
,,,,05 NDIFAKULYA
,,,25 ISAGAZA,01 BUGOYOZI A
,,,,02 ISAGAZA A
,,,,03 NAMAGO
,,,,04 BUGOYOZI B
,,,,05 ISAGAZA B
,,,26 BUGUNGA,01 BUDIBYA
,,,,02 BUGUNGA
,,,,03 BUSOLO
,,,,04 BUSWIRIRI
,,,,05 BUJAKA
,,,,06 KAWEMPE
,,,29 BUGUBO,01 BUSANZI
,,,,02 BUGUBO
,,,,03 BUKONDE A
,,,,04 BUBETA
,,,,06 KAKANDWA
,,,,08 MUYEMU
,,,,09 NABYUNYU
,,,30 NAMAYEMBA,01 NAMAYEMBA CENTRAL B
,,,,02 NAMAYEMBA EAST B
,,,,03 NAMAYEMBA WEST A
,,,,04 NAMAYEMBA CENTRAL A
,,,,05 NAMAYEMBA EAST A
,,,,06 NAMAYEMBA WEST B
,,05 NABUKALU,10 BUTYABULE,01 BUTYABULE
,,,,02 KYABAKAIRE
,,,,03 NABUGANGA
,,,,04 NAWANSEGA
,,,,05 BUZIKA
,,,,06 NAKABALE
,,,,07 NAKAKONO
,,,12 ISEGERO,01 BUKWAKU
,,,,02 BUWOLOGOMA
,,,,03 ISEGERO
,,,,04 ITANDA
,,,,05 NABUKIMA
,,,,06 NAKAVULE
,,,14 KASITA,02 BUKYANSIKO
,,,,04 KAKINDU
,,,,05 KATETEMPE
,,,,06 NABUKALU
,,,,08 BUDHEBERO
,,,,09 MAGOLO
,,,,10 NAMUNDOLERA
,,,15 NKAIZA,01 BUKAZITO
,,,,02 BULALO
,,,,03 BULANGA
,,,,04 KAKOGE
,,,16 WANGOBO,01 BUSAALA
,,,,02 BUSWIRIRI
,,,,03 BUZIBA
,,,,04 ITENTE
,,,,05 NSOKWE
,,,,06 BUKAKAIRE
,,,27 LWANIKA,01 KIWONGOLO
,,,,02 LWANIKA CENTRAL
,,,,03 LWANIKA NORTH
,,,,04 LWANIKA SOUTH
,,,28 NAKIVAMBA,01 BUKANDA
,,,,02 BUKYEMANTA
,,,,03 BUTUUKA
,,,,04 NAMAKOKO
,,,,05 BUDANDO
,,,,06 BUKAYE
,,,31 BUBALYA,01 BUBALYA
,,,,02 BUYAYA
,,,,03 KABASALA
,,,,04 MAGALAMA
,,,,05 NAWANZU
,,,,07 NAIGAGA
,,,32 BUKUBANSIRI,01 BUSOWOBI
,,,,02 NAWAMBIRI
,,,,03 BUKUBANSIRI
,,,,04 NAKITAKA
,,,,05 WABUGESA
,,,,06 NAMAYINGO
